Question,Intent,Answer
When are final exams?,Ask for exam schedule,Final exams are from December 1 to December 15.
How do I submit an assignment on Moodle?,Submit an assignment,"You can submit your assignment by going to the ""Assignments"" tab."
Where is the library located?,Find the library location,"The library is on the ground floor, next to the student center."
What is the last date to register for classes?,Check registration deadline,The last date to register is September 31.
How do I reset my Moodle password?,Reset password,"To reset your Moodle password, go to the ""Forgot Password"" link."
How can I check my grades?,Check grades,"You can check your grades by logging into Moodle and clicking on the ""Grades"" tab."
What are the office hours for my professor?,Ask for professor's hours,You can check your professor's office hours on the course page.
How do I join a Zoom lecture?,Join Zoom lecture,You can join your Zoom lecture by clicking the Zoom link on your Moodle course page.
How do I contact the IT department?,Contact IT support,You can contact IT support at support@tbc.edu or call 123-4567.
Where can I find study materials?,Find study materials,"Study materials are available in the ""Resources"" section of your course."
How can I get a student ID card?,Get student ID,You can apply for a student ID card online through the college portal.
When are final exams?,Ask for exam schedule,Final exams are from December 1 to December 15.
What are the dates for final exams?,Ask for exam schedule,Final exams are from December 1 to December 15.
Can you tell me when the final exams will be held?,Ask for exam schedule,Final exams are from December 1 to December 15.
When do final exams start?,Ask for exam schedule,Final exams are from December 1 to December 15.
What is the schedule for the final exams?,Ask for exam schedule,Final exams are from December 1 to December 15.
How do I submit an assignment on Moodle?,Submit an assignment,"You can submit your assignment by going to the ""Assignments"" tab."
Where do I upload my assignment on Moodle?,Submit an assignment,"You can submit your assignment by going to the ""Assignments"" tab."
How can I turn in my assignment on Moodle?,Submit an assignment,"You can submit your assignment by going to the ""Assignments"" tab."
What’s the process for submitting assignments on Moodle?,Submit an assignment,"You can submit your assignment by going to the ""Assignments"" tab."
Where should I submit my homework on Moodle?,Submit an assignment,"You can submit your assignment by going to the ""Assignments"" tab."
Where is the library located?,Find the library location,"The library is on the ground floor, next to the student center."
Can you tell me where the library is?,Find the library location,"The library is on the ground floor, next to the student center."
How do I find the library on campus?,Find the library location,"The library is on the ground floor, next to the student center."
Where is the campus library?,Find the library location,"The library is on the ground floor, next to the student center."
What’s the location of the library?,Find the library location,"The library is on the ground floor, next to the student center."
What is the last date to register for classes?,Check registration deadline,The last date to register is October 31.
