Category,Subcategory,Question,Response,Keyword,Urgency Level
Accommodation,Room Transfers,Who can I contact for... room transfers?,The best option would be to...,assignment,Low
Academic Help,Exam Preparation,What should I do if... exam preparation?,You can try...,exam,Medium
Clubs and Societies,Leadership Roles,Can you help me with... leadership roles?,You can find more information at...,housing,Low
Financial Aid,Scholarships,Can you help me with... scholarships?,It's best to reach out to...,mental health,Medium
Campus Life,Events,What should I do if... events?,You may want to check...,housing,High
Career Advice,Career Fair,How can I improve... career fair?,It's best to reach out to...,career,Low
IT Support,Software Installation,Where can I find... software installation?,Please visit...,assignment,High
Career Advice,Resume Writing,What resources are available for... resume writing?,I recommend you contact...,scholarship,High
Library Services,Library Fines,I need assistance with... library fines?,You may want to check...,events,High
Campus Life,Dining Options,Can you help me with... dining options?,You can try...,finance,Medium
Career Advice,Resume Writing,I need assistance with... resume writing?,You may want to check...,exam,Low
Mental Health,Anxiety,Who can I contact for... anxiety?,I recommend you contact...,IT support,Low
Financial Aid,Budgeting Tips,I need assistance with... budgeting tips?,Here is a resource that might help...,assignment,Low
Mental Health,Depression,Who can I contact for... depression?,You may want to check...,IT support,Medium
Health Services,Vaccination,Where can I find... vaccination?,The best option would be to...,finance,Low
Academic Help,Study Tips,Where can I find... study tips?,You should consider...,library,Low
Clubs and Societies,Club Events,How can I improve... club events?,Please visit...,housing,High
Academic Help,Exam Preparation,How can I improve... exam preparation?,I recommend you contact...,mental health,Low
Clubs and Societies,Membership Fees,What resources are available for... membership fees?,You can find more information at...,clubs,Medium
Mental Health,Depression,What should I do if... depression?,Our services can assist you with...,password,Low
Career Advice,Resume Writing,Can you help me with... resume writing?,You can find more information at...,mental health,High
Accommodation,Dorm Rules,What should I do if... dorm rules?,You may want to check...,password,Low
Clubs and Societies,Membership Fees,I need assistance with... membership fees?,I recommend you contact...,mental health,Low
Financial Aid,Scholarships,What should I do if... scholarships?,You may want to check...,IT support,High
Library Services,Study Room Booking,I need assistance with... study room booking?,The best option would be to...,job search,Low
Career Advice,Internships,I need assistance with... internships?,I recommend you contact...,events,Medium
Accommodation,Maintenance Requests,How can I improve... maintenance requests?,You can find more information at...,IT support,Low
Campus Life,Student ID,How can I improve... student id?,I recommend you contact...,password,Medium
Clubs and Societies,Membership Fees,How can I improve... membership fees?,You may want to check...,career,High
IT Support,Wi-Fi Issues,Can you help me with... wi-fi issues?,You should consider...,study,Medium
Clubs and Societies,Club Funding,Who can I contact for... club funding?,Here is a resource that might help...,library,High
Clubs and Societies,Joining a Club,Can you help me with... joining a club?,It's best to reach out to...,library,High
Career Advice,Interview Tips,How can I improve... interview tips?,You should consider...,stress,Low
Career Advice,Job Search,Is there a way to... job search?,The best option would be to...,health,Medium
